OrderDate	SubTotal
1/1/2007	20244
2/1/2007	69008
3/1/2007	86346
4/1/2007	89699
5/1/2007	26078
6/1/2007	42819
7/1/2007	31977
8/1/2007	77616
9/1/2007	77530
10/1/2007	89211
11/1/2007	94907
12/1/2007	66958
13/1/2007	58858
14/1/2007	59671
15/1/2007	5555
16/1/2007	20188
17/1/2007	45721
18/1/2007	98918
19/1/2007	89387
20/1/2007	99090
21/1/2007	17947
22/1/2007	19607
23/1/2007	5792
24/1/2007	99268
25/1/2007	46152
26/1/2007	40995
27/1/2007	90995
28/1/2007	7962
29/1/2007	16011
30/1/2007	27210
31/1/2007	85437
1/2/2007	22841
2/2/2007	40016
3/2/2007	24427
4/2/2007	48246
5/2/2007	21603
6/2/2007	22970
7/2/2007	72046
8/2/2007	56440
9/2/2007	67633
10/2/2007	76471
11/2/2007	44481
12/2/2007	71401
13/2/2007	12202
14/2/2007	8746
15/2/2007	71881
16/2/2007	51955
17/2/2007	60561
18/2/2007	59979
19/2/2007	86998
20/2/2007	56384
21/2/2007	92280
22/2/2007	36390
23/2/2007	39372
24/2/2007	50564
25/2/2007	30785
26/2/2007	87221
27/2/2007	69594
28/2/2007	84057
1/3/2007	1383
2/3/2007	15606
3/3/2007	57607
4/3/2007	41881
5/3/2007	92531
6/3/2007	20065
7/3/2007	32742
8/3/2007	39391
9/3/2007	41795
10/3/2007	59441
11/3/2007	63125
12/3/2007	8116
13/3/2007	12583
14/3/2007	11907
15/3/2007	83925
16/3/2007	6974
17/3/2007	1328
18/3/2007	74980
19/3/2007	97124
20/3/2007	65900
21/3/2007	90214
22/3/2007	39719
23/3/2007	72581
24/3/2007	73214
25/3/2007	52811
26/3/2007	59640
27/3/2007	59497
28/3/2007	53583
29/3/2007	49961
30/3/2007	35601
31/3/2007	8400
1/4/2007	11401
2/4/2007	90971
3/4/2007	24393
4/4/2007	39256
5/4/2007	27359
6/4/2007	53056
7/4/2007	14184
8/4/2007	29810
9/4/2007	93549
10/4/2007	34541
11/4/2007	21651
12/4/2007	93299
13/4/2007	68715
14/4/2007	94100
15/4/2007	9519
16/4/2007	4612
17/4/2007	85548
18/4/2007	52268
19/4/2007	20155
20/4/2007	51658
21/4/2007	8155
22/4/2007	94552
23/4/2007	46917
24/4/2007	41357
25/4/2007	63071
26/4/2007	16684
27/4/2007	27666
28/4/2007	87822
29/4/2007	18455
30/4/2007	55353
1/5/2007	56033
2/5/2007	58447
3/5/2007	88486
4/5/2007	83402
5/5/2007	45021
6/5/2007	95375
7/5/2007	83982
8/5/2007	12658
9/5/2007	32210
10/5/2007	32098
11/5/2007	32563
12/5/2007	11420
13/5/2007	74457
14/5/2007	97594
15/5/2007	5108
16/5/2007	71276
17/5/2007	51574
18/5/2007	53530
19/5/2007	40737
20/5/2007	83862
21/5/2007	46558
22/5/2007	12965
23/5/2007	60365
